time,jumps,tau,vC,iL,q,p
0.0,0,0.0,0.0,3.012913018498755,1.0,1.0
3.429500000008484E-5,0,3.429500000008485E-5,1.5699705767599343,3.087056937036283,1.0,1.0
3.43066666669502E-5,0,3.430666666695021E-5,1.5705113525088652,3.0870820603835005,1.0,1.0
3.43066666669502E-5,1,3.430666666695021E-5,1.5705113525088652,3.0870820603835005,-1.0,1.0
1.0187500000068073E-4,1,1.0187500000068073E-4,4.6264146223013185,2.9343110676784714,-1.0,1.0
1.0187500000068073E-4,2,1.0187500000068073E-4,4.6264146223013185,2.9343110676784714,1.0,1.0
1.715233333344112E-4,2,1.715233333344112E-4,7.770794183109975,3.081152300176182,1.0,1.0
1.715233333344112E-4,3,1.715233333344112E-4,7.770794183109975,3.081152300176182,-1.0,1.0
2.391716666681417E-4,3,2.391716666681417E-4,10.822108318650963,2.9240127540860605,-1.0,1.0
2.391716666681417E-4,4,2.391716666681417E-4,10.822108318650963,2.9240127540860605,1.0,1.0
3.0919641914347484E-4,4,3.0919641914347484E-4,13.970828427786149,3.0673157875589765,1.0,1.0
3.09207970298787E-4,4,3.09207970298787E-4,13.971360425399565,3.0673392319981625,1.0,1.0
3.09207970298787E-4,5,3.09207970298787E-4,13.971360425399565,3.0673392319981625,-1.0,1.0
3.771238118830311E-4,5,3.771238118830311E-4,17.018233990014163,2.905379251169652,-1.0,1.0
3.771353630383433E-4,5,3.771353630383433E-4,17.018737901229947,2.905351537220456,-1.0,1.0
3.771353630383433E-4,6,3.771353630383433E-4,17.018737901229947,2.905351537220456,1.0,1.0
4.4774757425986066E-4,6,4.4774757425986066E-4,20.172453048652006,3.045493427995453,1.0,1.0
4.4774757425986066E-4,7,4.4774757425986066E-4,20.172453048652006,3.045493427995453,-1.0,1.0
5.161320627091004E-4,7,5.161320627091004E-4,23.215211402331164,2.8781928747009347,-1.0,1.0
5.161320627091004E-4,8,5.161320627091004E-4,23.215211402331164,2.8781928747009347,1.0,1.0
5.875264521484392E-4,8,5.875264521484392E-4,26.373256866149188,3.0154817745655045,1.0,1.0
5.875264521484392E-4,9,5.875264521484392E-4,26.373256866149188,3.0154817745655045,-1.0,1.0
6.565941089145108E-4,9,6.565941089145108E-4,29.412253831483152,2.8422505698402034,-1.0,1.0
6.565941089145108E-4,10,6.565941089145108E-4,29.412253831483152,2.8422505698402034,1.0,1.0
7.289983993439486E-4,10,7.289983993439486E-4,32.574566690866284,2.9770196517135163,1.0,1.0
7.289983993439486E-4,11,7.289983993439486E-4,32.574566690866284,2.9770196517135163,-1.0,1.0
7.989769471991289E-4,11,7.989769471991289E-4,35.60980227327452,2.7971939431537893,-1.0,1.0
7.989769471991289E-4,12,7.989769471991289E-4,35.60980227327452,2.7971939431537893,1.0,1.0
8.726452640308979E-4,12,8.726452640308979E-4,38.776318808454604,2.9297823371286027,1.0,1.0
8.726568151862102E-4,12,8.726568151862102E-4,38.77682695216042,2.929802932133772,1.0,1.0
8.726568151862102E-4,13,8.726568151862102E-4,38.77682695216042,2.929802932133772,-1.0,1.0
9.438036798730739E-4,13,9.438036798730739E-4,41.80839340753984,2.742598790411391,-1.0,1.0
9.438036798730739E-4,14,9.438036798730739E-4,41.80839340753984,2.742598790411391,1.0,1.0
0.0010190185808632549,14,0.0010190185808632549,44.97873496085065,2.8733484751673872,1.0,1.0
0.0010190302475301203,14,0.0010190302475301203,44.979238300181706,2.8733685590913285,1.0,1.0
0.0010190302475301203,15,0.0010190302475301203,44.979238300181706,2.8733685590913285,-1.0,1.0
0.0010916485808638446,15,0.0010916485808638446,48.00746588987499,2.677832560161863,-1.0,1.0
0.0010916485808638446,16,0.0010916485808638446,48.00746588987499,2.677832560161863,1.0,1.0
0.001168763580863923,16,0.001168763580863923,51.182122887846134,2.8071533998231857,1.0,1.0
0.0011687752475307883,16,0.0011687752475307883,51.18261463144307,2.807172767741282,1.0,1.0
0.0011687752475307883,17,0.0011687752475307883,51.18261463144307,2.807172767741282,-1.0,1.0
0.0012432135808645127,17,0.0012432135808645127,54.2075024261464,2.6021710356698464,-1.0,1.0
0.0012432135808645127,18,0.0012432135808645127,54.2075024261464,2.6021710356698464,1.0,1.0
0.0013226319141982365,18,0.0013226319141982365,57.38621067921472,2.7304891031998677,1.0,1.0
0.0013226319141982365,19,0.0013226319141982365,57.38621067921472,2.7304891031998677,-1.0,1.0
0.0013993102475319606,19,0.0013993102475319606,60.40762655831506,2.5146241505321565,-1.0,1.0
0.0013993102475319606,20,0.0013993102475319606,60.40762655831506,2.5146241505321565,1.0,1.0
0.0014815285808656843,20,0.0014815285808656843,63.590067139182345,2.642438963835574,1.0,1.0
0.0014815285808656843,21,0.0014815285808656843,63.590067139182345,2.642438963835574,-1.0,1.0
0.001560986914199408,21,0.001560986914199408,66.60845716611935,2.4138922205101907,-1.0,1.0
0.001560986914199408,22,0.001560986914199408,66.60845716611935,2.4138922205101907,1.0,1.0
0.0016466352475331312,22,0.0016466352475331312,69.79424526612381,2.54181284613709,1.0,1.0
0.0016466352475331312,23,0.0016466352475331312,69.79424526612381,2.54181284613709,-1.0,1.0
0.0017295635808668545,23,0.0017295635808668545,72.80984529069879,2.298228258842268,-1.0,1.0
0.0017295635808668545,24,0.0017295635808668545,72.80984529069879,2.298228258842268,1.0,1.0
0.0018194685808669317,24,0.0018194685808669317,75.99848464285274,2.427033230428575,1.0,1.0
0.001819480247533797,24,0.001819480247533797,75.99890979883128,2.427049747451771,1.0,1.0
0.001819480247533797,25,0.001819480247533797,75.99890979883128,2.427049747451771,-1.0,1.0
